variant,model,n_cv_folds,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_recall_mean,loso_mean_accuracy,loso_std_accuracy,loso_mean_dummy_baseline,loso_mean_balanced_accuracy,loso_std_balanced_accuracy,loso_mean_f1,loso_mean_roc_auc,n_train_pool_subjects,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,test_subjects,train_pool_subjects
filtered_normalized,random_forest,5,0.7045997163872577,0.1941557503045778,0.7930654698962775,0.13708301859760014,0.761363065676207,0.6721784285282384,0.859778176506068,0.14992172634576956,0.7000019382942114,0.8246787335337838,0.20006553766715357,0.7274552882107784,0.8792505318427838,12,0.9920993227990971,0.9879969086605807,0.9868173258003766,0.9961977186311787,0.9776119402985075,0.9997256167919839,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
filtered,random_forest,5,0.47660764016646195,0.16330599347096172,0.6427986251711585,0.07710739061252092,0.6786454685830805,0.4510411687250023,0.7303942755937146,0.14731456526148531,0.7000019382942114,0.659026278622945,0.17367527734508903,0.4545004766836534,0.8492439322211843,12,0.8792325056433409,0.8785622856590832,0.8145580589254766,0.7605177993527508,0.8768656716417911,0.9450441964932619,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw,random_forest,5,0.4761714983126889,0.1516347239334143,0.6424004806805169,0.06888963819544282,0.6833042963500899,0.4501809414733776,0.7242314572650014,0.14842047057964716,0.7000019382942114,0.6511552217750589,0.16878337311746633,0.4433003750837013,0.8418941762469824,12,0.8664409330323551,0.865166481508316,0.7960941987363584,0.7395944503735326,0.8619402985074627,0.9371259935489757,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw_windows,random_forest,5,0.4115763479897601,0.16785698717391923,0.5930484739251971,0.09733087542146367,0.5534535232189701,0.43618250241934725,0.6605606667996141,0.21084922735201284,0.7000019382942114,0.5891800743836995,0.20651033345623682,0.3766039145412998,0.716970839011848,12,0.7878103837471784,0.8147893219984221,0.7157258064516129,0.6016949152542372,0.8830845771144279,0.9064809447906099,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
