experiment,variant,model,n_samples,n_features,train_subjects,test_subjects,accuracy,precision,recall,f1,roc_auc,training_seconds,inference_seconds,inference_ms_per_window
E4_TEMP,filtered,logistic_regression,2577,18,"S3,S4",S2,0.7420494699646644,0.9655172413793104,0.11382113821138211,0.20363636363636364,0.9760074963933719,0.18168349997722544,0.05159650000859983,0.06077326267208461
E4_TEMP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.6431095406360424,0.3776824034334764,0.35772357723577236,0.3674321503131524,0.5311248634874408,0.21382549998816103,0.0891358999942895,0.10498928150092993
E4_TEMP,raw,logistic_regression,2577,18,"S3,S4",S2,0.7444051825677267,0.967741935483871,0.12195121951219512,0.21660649819494585,0.9772108293222237,0.38989569997647777,0.01886820001527667,0.022224028286544958
RB_ACC,filtered,logistic_regression,2577,54,"S3,S4",S2,0.607773851590106,0.2814070351758794,0.22764227642276422,0.251685393258427,0.7817079912092653,0.1535660000226926,0.026965700002619997,0.03176171967328621
RB_ACC,filtered_normalized,logistic_regression,2577,54,"S3,S4",S2,0.71849234393404,0.6666666666666666,0.056910569105691054,0.10486891385767791,0.9426310183499845,0.11987989998306148,0.012210800021421164,0.014382567751968391
RB_ACC,raw,logistic_regression,2577,54,"S3,S4",S2,0.6171967020023557,0.3015075376884422,0.24390243902439024,0.2696629213483146,0.7826180749369682,0.24278530001174659,0.03439399998751469,0.04051118962015864
RB_ECG,filtered,logistic_regression,2577,18,"S3,S4",S2,0.4452296819787986,0.33719247467438496,0.9471544715447154,0.4973319103521878,0.807298197360083,0.09425130000454374,0.01051779999397695,0.012388457001150708
RB_ECG,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.49469964664310956,0.36281859070464767,0.983739837398374,0.5301204819277109,0.8196146638083297,0.09782259998610243,0.013589899986982346,0.01600694933684611
RB_ECG,raw,logistic_regression,2577,18,"S3,S4",S2,0.3510011778563015,0.2996057818659658,0.926829268292683,0.4528301886792453,0.6453976728822015,0.10964710000553168,0.013126200006809086,0.015460777393179135
RB_EDA,filtered,logistic_regression,2577,18,"S3,S4",S2,0.7220259128386337,0.5233644859813084,0.45528455284552843,0.48695652173913045,0.6930388706872141,0.07550830001127906,0.01241729999310337,0.014625795044880294
RB_EDA,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.7196702002355713,0.5161290322580645,0.5203252032520326,0.5182186234817814,0.7254985236419529,0.08160000000498258,0.018323299998883158,0.0215822143685314
RB_EDA,raw,logistic_regression,2577,18,"S3,S4",S2,0.7232037691401649,0.5255813953488372,0.45934959349593496,0.49023861171366595,0.6860211139424828,0.10246290001668967,0.03594390000216663,0.04233674911915975
RB_EMG,filtered,logistic_regression,2577,18,"S3,S4",S2,0.48998822143698467,0.3155818540433925,0.6504065040650406,0.4249667994687915,0.5574903261470425,0.07263400001102127,0.01703560000169091,0.020065488812356782
RB_EMG,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.4628975265017668,0.325,0.7926829268292683,0.46099290780141844,0.6040731302835416,0.04923089998192154,0.011090899992268533,0.013063486445545974
RB_EMG,raw,logistic_regression,2577,18,"S3,S4",S2,0.4075382803297998,0.2701252236135957,0.6138211382113821,0.37515527950310557,0.4596934029041783,0.1062099999981001,0.014142600004561245,0.016657950535407827
RB_RESP,filtered,logistic_regression,2577,18,"S3,S4",S2,0.7997644287396938,0.6357142857142857,0.7235772357723578,0.6768060836501901,0.8429262899594171,0.07884269999340177,0.010367999988375232,0.012212014120583311
RB_RESP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.7656065959952886,0.5681159420289855,0.7967479674796748,0.6632825719120136,0.8638716984184768,0.11258899999666028,0.012675899983150885,0.014930388672733668
RB_RESP,raw,logistic_regression,2577,18,"S3,S4",S2,0.8162544169611308,0.6618705035971223,0.7479674796747967,0.7022900763358778,0.850267632029554,0.09296599999652244,0.012102199980290607,0.014254652509176215
RB_TEMP,filtered,logistic_regression,2577,18,"S3,S4",S2,0.6289752650176679,0.0,0.0,0.0,0.6889805713977537,0.07852979999734089,0.007980700000189245,0.009400117785853056
RB_TEMP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.7750294464075382,0.562929061784897,1.0,0.7203513909224012,0.9682144831398563,0.05826830002479255,0.013921499979915097,0.016397526478109655
RB_TEMP,raw,logistic_regression,2577,18,"S3,S4",S2,0.6207302709069493,0.0,0.0,0.0,0.6864727851258612,0.09736549999797717,0.01159660000121221,0.013659128387764676
