variant,model,n_cv_folds,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_recall_mean,loso_mean_accuracy,loso_std_accuracy,loso_mean_dummy_baseline,loso_mean_balanced_accuracy,loso_std_balanced_accuracy,loso_mean_f1,loso_mean_roc_auc,n_train_pool_subjects,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,test_subjects,train_pool_subjects
filtered_normalized,knn,5,0.6685199254095832,0.1428514025134363,0.754857831188508,0.097703257416951,0.7440543688810255,0.6149335894430272,0.8478070074799855,0.179029590767497,0.7000019382942114,0.8013825665979716,0.2151088312013004,0.7233906988203439,0.8413164843060579,12,0.989089541008277,0.9833739876668437,0.9817265280403277,0.9948914431673053,0.9689054726368159,0.9989064923494716,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw_windows,knn,5,0.2778673486666655,0.0951482503128945,0.4839266784453309,0.0671152325670792,0.2856406411682205,0.28108466791095116,0.6058396668552372,0.16259632314486072,0.7000019382942114,0.5127408620149884,0.16820268136404537,0.2688516952526118,0.557097020894787,12,0.9003009781790821,0.8559790046531098,0.8186173853524983,0.9101978691019786,0.7437810945273632,0.8839845406194486,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
filtered,knn,5,0.32418800515928964,0.11973712875335418,0.5243041589757089,0.08070297513382761,0.3394458603389713,0.3239248818380404,0.6400266955264629,0.13972280947881618,0.7000019382942114,0.5496037176530999,0.1509479014401283,0.32593055776890273,0.6008967739880746,12,0.8833709556057185,0.8413776586324043,0.792225201072386,0.8590116279069767,0.7350746268656716,0.9389574511477135,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw,knn,5,0.31445507266122086,0.12952057154100502,0.5225996914968747,0.0824281288280592,0.3260304064719527,0.31211871945160574,0.6483294445374549,0.1271926186420682,0.7000019382942114,0.5545570678653381,0.14379781061610725,0.32376199932354544,0.6273683003731728,12,0.8683220466516177,0.8284769518105266,0.7697368421052632,0.8170391061452514,0.7276119402985075,0.9218718972558996,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
