model,variant,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc
decision_tree,filtered_normalized,0.9811118356437876,0.9750312109862672,0.9786967418546366,0.9713930348258708,0.973242605741519
knn,filtered_normalized,0.9833739876668436,0.9817265280403276,0.9948914431673052,0.968905472636816,0.9989064923494716
logistic_regression,filtered_normalized,0.9399241655798676,0.9342105263157896,0.9916201117318436,0.8830845771144279,0.9969167109436636
random_forest,filtered_normalized,0.9879969086605808,0.9868173258003766,0.9961977186311788,0.9776119402985076,0.999725616791984
svm,filtered_normalized,0.98818407960199,0.9880427942101953,1.0,0.97636815920398,0.9998517391467688
xgboost,filtered_normalized,0.9845352525398896,0.9836065573770492,0.9974424552429668,0.9701492537313432,0.9996363919346096
