epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
1,0.6145833134651184,0.7366254329681396,0.6341820955276489,0.7408716082572937,0.9713931083679199,0.5861482620239258
2,0.8038194179534912,0.8951712846755981,0.4160206615924835,0.7585394382476807,0.6654295921325684,0.7874649167060852
3,0.8587962985038757,0.935768187046051,0.3237711489200592,0.7514722943305969,0.7718689441680908,0.9674703478813171
4,0.8761574029922485,0.9454135894775391,0.2911114990711212,0.7455830574035645,0.7825371026992798,1.0677757263183594
5,0.9050925970077515,0.958197295665741,0.25100117921829224,0.7408716082572937,0.8900921940803528,1.1690253019332886
6,0.9137731194496155,0.964471697807312,0.23111745715141296,0.7479387521743774,0.7784552574157715,1.2175114154815674
