variant,model,n_cv_folds,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_recall_mean,loso_mean_accuracy,loso_std_accuracy,loso_mean_dummy_baseline,loso_mean_balanced_accuracy,loso_std_balanced_accuracy,loso_mean_f1,loso_mean_roc_auc,n_train_pool_subjects,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,test_subjects,train_pool_subjects
filtered_normalized,logistic_regression,5,0.7335550918330017,0.15232641952409248,0.8066267748227552,0.10980424017436897,0.7210942703376919,0.7528914778357167,0.8607343736352874,0.17172793991336463,0.7000019382942114,0.8496723500799045,0.193447397174196,0.7869591750647967,0.8984459631623047,12,0.9623777276147479,0.9399241655798677,0.9342105263157895,0.9916201117318436,0.8830845771144279,0.9969167109436636,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
filtered,logistic_regression,5,0.5397882386123454,0.0671378044762464,0.6631313164380805,0.060382328885813526,0.5345698653246111,0.6028788774207365,0.710975131908086,0.1364439455707704,0.7000019382942114,0.6708851922892474,0.1503575372122779,0.5158417627671339,0.7623635507671062,12,0.9386756960120392,0.9303301453895572,0.8996923076923077,0.8903775883069428,0.9092039800995025,0.9803805943314711,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw,logistic_regression,5,0.6108216351581115,0.08589930858291514,0.718322641850825,0.07333764623823168,0.5716503536494305,0.6681414775336217,0.7482359784301783,0.08836720034236739,0.7000019382942114,0.7149105772548019,0.1205632726768755,0.5767017188116791,0.8170300866780417,12,0.9063205417607223,0.9018539986153375,0.8518738845925045,0.8164196123147093,0.8905472636815921,0.9642054023303118,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw_windows,logistic_regression,5,0.4253154693774005,0.06952316202916708,0.5303821914932831,0.09606744209843213,0.38029461698835865,0.5584702046581629,0.5456545689263202,0.1729347040424066,0.7000019382942114,0.5409868576222139,0.139923686169602,0.3463675242711584,0.7183117529433161,12,0.7340105342362678,0.7219847365116167,0.6113249037932931,0.547783251231527,0.6915422885572139,0.8292356985300038,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
