variant,model,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_recall_mean,test_f1,test_precision,test_recall,test_accuracy,n_features,train_subjects,test_subjects
filtered,logistic_regression,0.7166253419972639,0.2060448112186172,0.795767732744399,0.7934256623152576,0.8388998035363457,0.8275193798449613,0.850597609561753,0.9041496201052016,108,"S4,S5,S6,S7","S2,S3"
filtered,svm_rbf,0.3550504482487497,0.3437952121911938,0.5547028749893044,0.44393338680410055,0.907258064516129,0.9183673469387755,0.896414342629482,0.9462302746931619,108,"S4,S5,S6,S7","S2,S3"
filtered,random_forest,0.32748706001874217,0.3578125674902417,0.2950322335987865,0.45769230769230773,0.2826086956521739,0.6408450704225352,0.18127490039840638,0.7299824663939217,108,"S4,S5,S6,S7","S2,S3"
filtered,dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706604324956166,108,"S4,S5,S6,S7","S2,S3"
