variant,model,n_cv_folds,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_recall_mean,loso_mean_accuracy,loso_std_accuracy,loso_mean_dummy_baseline,loso_mean_balanced_accuracy,loso_std_balanced_accuracy,loso_mean_f1,loso_mean_roc_auc,n_train_pool_subjects,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,test_subjects,train_pool_subjects
filtered_normalized,xgboost,5,0.7264561604605102,0.21138583842796346,0.8058981412479186,0.14469030659447876,0.7867307271945517,0.6830530049163774,0.8764228137620814,0.15405137865324786,0.7000019382942114,0.8418426315453745,0.19701085499070678,0.7670920618994104,0.8983816142962677,12,0.9902182091798345,0.9845352525398896,0.9836065573770492,0.9974424552429667,0.9701492537313433,0.9996363919346096,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
filtered,xgboost,5,0.4722128655183185,0.10203752601324702,0.6364497227060408,0.04408815371119716,0.5894367345297017,0.5031823874078423,0.737036642110088,0.13296025224667174,0.7000019382942114,0.6679095550604982,0.1610990915734603,0.47660822151044274,0.8535300427494743,12,0.8762227238525206,0.8908451271152329,0.8193300384404174,0.7335299901671584,0.927860696517413,0.9335201017565892,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw,xgboost,5,0.4786662764463953,0.1193018931029802,0.6456696874481358,0.05574623510433077,0.5835308162247876,0.495375232591759,0.7133874963661535,0.14147508071651768,0.7000019382942114,0.6409286660772785,0.16265609950761206,0.432987681453847,0.8217855027752585,12,0.8619262603461249,0.8668610829348403,0.793935991016283,0.7236438075742068,0.8793532338308457,0.9273649283249341,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw_windows,xgboost,5,0.44748576334419693,0.09530357803007032,0.6166452457745948,0.04029726479670424,0.5322794743049017,0.4917316948157864,0.6528304536917963,0.20447142216495046,0.7000019382942114,0.5958320946653163,0.19568522989208917,0.4137067358506203,0.7468082848365681,12,0.8017306245297215,0.8311074079440983,0.7342410489157841,0.6174724342663274,0.9054726368159204,0.9089510645263436,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
