variant,model,n_cv_folds,cv_f1_mean,cv_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_recall_mean,loso_mean_accuracy,loso_std_accuracy,loso_mean_dummy_baseline,loso_mean_balanced_accuracy,loso_std_balanced_accuracy,loso_mean_f1,loso_mean_roc_auc,n_train_pool_subjects,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,test_subjects,train_pool_subjects
filtered_normalized,decision_tree,5,0.6875771154423858,0.1867268480022281,0.7877144805579313,0.12976794191583832,0.6805866360229603,0.7079661544202723,0.8360422485477822,0.14060559501810443,0.7000019382942114,0.8054163977720715,0.16656181827330085,0.7230898583794138,0.8011304665556186,12,0.9849510910458992,0.9811118356437876,0.9750312109862672,0.9786967418546366,0.9713930348258707,0.973242605741519,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw,decision_tree,5,0.4404949363465781,0.11243532634294263,0.5982320240857895,0.060562551092819855,0.41083405313346366,0.5127460614097463,0.732136505441027,0.14209634835327611,0.7000019382942114,0.6624139381052639,0.15283601284112158,0.48070338827928755,0.6815855796568963,12,0.7516930022573364,0.8061573201951409,0.696969696969697,0.5524017467248908,0.9440298507462687,0.8617521212706691,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
filtered,decision_tree,5,0.46239546032439094,0.15250755414163203,0.6235583809044888,0.07760985953017534,0.4267616383548926,0.5470062336834811,0.745910948464759,0.13662900461743108,0.7000019382942114,0.7071661777988058,0.15713310826253699,0.5591747037171262,0.7144108877708278,12,0.8021068472535741,0.7848862483698015,0.6938300349243306,0.6520787746170679,0.7412935323383084,0.7880530599430035,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
raw_windows,decision_tree,5,0.40425199810494716,0.18967982709473397,0.5860215073758809,0.12329532350215647,0.46754082289821924,0.43062940373734443,0.6202880832074382,0.2582806154835652,0.7000019382942114,0.5661379958006211,0.2298867473545154,0.37531780728273456,0.6093385800907549,12,0.674191121143717,0.7509539680239579,0.6370494551550713,0.4804045512010114,0.945273631840796,0.7484234705651891,0.6975169300225733,"S10,S4,S6","S11,S13,S14,S15,S16,S17,S2,S3,S5,S7,S8,S9"
